Price,Area,City,No. of Bedrooms,Gymnasium,CarParking,Hospital,Latitude,Longitude,Alaknanda,Alwal,Ambattur,Anjanapura,Anna Nagar,Appa Junction,Attapur,Attibele,Avadi,BTM Layout,Bachupally,Bachupally Road,Balanagar,Banashankari,Bandlaguda Jagir,Banjara Hills,Beeramguda,Begumpet,Begur,Bellandur,Bommanahalli,Bommasandra,Borivali East,Budigere Cross,Burari,Carmelaram,Chandanagar,Chattarpur,Chembur,Chittaranjan Park,Choolaimedu,Chromepet,Dattapada,Devanahalli,Doddanekundi,Dombivali East,Dronagiri,Dwarka Mor,East Marredpally,East Tambaram,Electronic City Phase 1,Electronic City Phase 2,Gachibowli,Gajularamaram,Goregaon West,Gottigere,Govindpuri,Guduvancheri,Hari Nagar,Harlur,Hebbal,Hitech City,Horamavu,Hosa Road,Hulimavu,ITPL,JP Nagar Phase 3,JP Nagar Phase 4,JP Nagar Phase 7,JP Nagar Phase 8,Jakkur,Jalahalli,Jamia Nagar,Jasola,Jigani,Jubilee Hills,Junnasandra,Kachiguda,Kadugodi,Kalkaji,Kalwa,Kamothe,Kandivali East,Kandivali West,Karapakkam,Kasavanahalli,Kelambakkam,Kharghar,Kokapet,Kolapakkam,Kolathur,Kollur Road,Kompally,Konanakunte,Kondapur,Koramangala,Korattur,Kovilambakkam,Kovur,Krishnarajapura,Kudlu,Kukatpally,Kumaraswamy Layout,LB Nagar,Madambakkam,Madhapur,Madinaguda,Madipakkam,Maduravoyal,Magathane,Mahavir Enclave,Malad East,Malad West,Malkajgiri,Mallampet,Mallapur,Manapakkam,Manikandan Nagar,Manikonda,Medavakkam,Mevalurkuppam,Miyapur,Mogappair,Mugalivakkam,Mundka,Muneshwara Nagar,Nagarbhavi,Nagole,Nallagandla Gachibowli,Nanakramguda,Nanmangalam,Narsingi,Navallur,Nayandahalli,Nelamangala,New Town,Nizampet,Nungambakkam,Pallavaram,Pallikaranai,Pammal,Paschim Vihar,Patancheru,Perumbakkam,Perungalathur,Perungudi,Pitampura,Poonamallee,Porur,Pragathi Nagar Kukatpally,Puppalaguda,RR Nagar,Raja Annamalai Puram,Rajakilpakkam,Rajendra Nagar,Ramamurthy Nagar,Sahakar Nagar,Saket,Sanath Nagar,Sarita Vihar,Sarjapur,Sector 10 Dwarka,Sector 11 Dwarka,Sector 12 Dwarka,Sector 13 Dwarka,Sector 13 Rohini,Sector 19 Dwarka,Sector 2 Dwarka,Sector 20 Kharghar,Sector 22 Dwarka,Sector 23 Dwarka,Sector 23 Rohini,Sector 24 Rohini,Sector 3 Dwarka,Sector 4 Dwarka,Sector 5 Dwarka,Sector 6 Dwarka,Sector 7 Dwarka,Sector 9 Dwarka,Sector-18 Dwarka,Selaiyur,Sembakkam,Serilingampally,Shahdara,Shaikpet,Shastri Nagar,Sholinganallur,Singasandra,Sunnambu Kolathur S Kolathur,T Nagar,Tarnaka,Tellapur,Thane,Thane West,Thanisandra,Thiruvanmiyur,Thiruverkadu,Thoraipakkam OMR,Tiruvottiyur,Ullagaram,Ulwe,Uttam Nagar,Uttarahalli,Vadapalani,Varthur,Vasant Kunj,Velachery,Vengaivasal,Wadala,Wadala East Wadala,West Marredpally,West Tambaram,Whitefield Hope Farm Junction,Yelahanka,nawada,tambaram west
155.0,1200,Delhi,3.0,0.0,0.0,0.0,30.2965383,79.1567896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163.99999,1650,Delhi,4.0,0.0,0.0,0.0,30.2965383,79.1567896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156.0,1300,Delhi,2.0,0.0,0.0,0.0,30.2965383,79.1567896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190.0,1450,Delhi,3.0,0.0,0.0,0.0,30.2965383,79.1567896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190.0,1450,Delhi,3.0,0.0,0.0,0.0,30.2965383,79.1567896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.0,1200,Delhi,2.0,0.0,0.0,0.0,30.2965383,79.1567896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155.0,1250,Delhi,2.0,0.0,0.0,0.0,30.2965383,79.1567896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187.0,1450,Delhi,3.0,0.0,0.0,0.0,30.2965383,79.1567896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183.0,1400,Delhi,3.0,0.0,0.0,0.0,30.2965383,79.1567896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157.0,1650,Delhi,3.0,0.0,0.0,0.0,30.2965383,79.1567896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
